ticker,status,last_close,sma50,sma200,avgvol50,last_vol,relvol_proxy,reasons,n_days,market_cap
OSX,insufficient_history,,,,,,,,0.0,
PARR,PASS,49.68000030517578,38.95459991455078,34.961849975585935,1196464.0,2081800.0,1.7399604166945266,,,2498459031.0
PPH,fail,108.83999633789062,107.15659957885742,95.02454982757568,427350.0,130600.0,0.3056043056043056,"avgvol50<min,relvol<min",,
PSX,fail,164.72000122070312,145.21279968261717,132.9546001815796,2498724.0,2823100.0,1.129816658422459,relvol<min,,
RB=F,fail,2.4986000061035156,1.906993989944458,1.9883629995584489,47089.2,30603.0,0.6498942432659719,"price<min,avgvol50<min,relvol<min",,
RCAT,PASS,14.729999542236328,12.335399951934814,9.893049993515014,13424290.0,20976800.0,1.5626003311906997,,,1754755720.0
RLX,fail,2.3399999141693115,2.3295999717712403,2.3342499959468843,2297180.0,1961800.0,0.8540036044193315,"price<min,relvol<min",,
RMS,insufficient_history,,,,,,,,0.0,
SCCO,fail,206.66000366210938,183.1856253051758,128.42267295837402,2108274.24,1727000.0,0.8191533943895267,relvol<min,,
SEM,PASS,16.25,15.291799945831299,14.275800008773803,1139982.0,5446400.0,4.777619295743266,,,2016519554.0
SHEL,fail,82.69999694824219,76.1734001159668,73.07010005950927,4907278.58,5559253.0,1.132858652585401,relvol<min,,
SLB,fail,47.88999938964844,46.95220031738281,38.10520016670227,18942016.0,19903200.0,1.0507434900276718,relvol<min,,
SMH,fail,399.1000061035156,394.47160095214844,329.4962497711182,7394984.0,8740200.0,1.1819092509192717,relvol<min,,
SOX,insufficient_history,,,,,,,,0.0,
SRRK,PASS,47.43000030517578,45.32,37.58565014839172,1047368.0,3862100.0,3.6874336431894044,,,4838213716.0
SU,fail,57.34000015258789,50.91959999084472,42.960650024414065,5017298.0,5744300.0,1.1448991070492525,relvol<min,,
TDW,fail,83.80000305175781,63.41820007324219,54.84660007476807,759676.0,1114400.0,1.4669411696565378,relvol<min,,
TGT,fail,120.08000183105469,108.40080001831055,98.68094993591309,6870774.0,9486700.0,1.3807323599932118,relvol<min,,
TRX,fail,1.7599999904632568,1.3728000044822692,0.7218500025570392,7590772.0,4839200.0,0.6375109145683733,"price<min,relvol<min",,
TTE,PASS,76.91999816894531,71.22059959411621,64.20099998474122,1490954.0,3826200.0,2.5662763572853353,,,166386318300.0
TTH,insufficient_history,,,,,,,,0.0,
TXX,insufficient_history,,,,,,,,0.0,
UCO,PASS,29.139999389648438,22.23499988555908,22.26294997215271,4068830.0,11177800.0,2.7471779356719255,,,
USO,PASS,91.55999755859375,75.3818002319336,73.50364990234375,9289108.0,28375700.0,3.0547281827275556,,,10742819840.0
UTH,insufficient_history,,,,,,,,0.0,
UTY,insufficient_history,,,,,,,,0.0,
UUP,fail,27.40999984741211,27.07560005187988,27.480249967575073,1305572.0,2493200.0,1.909661052779931,below_sma200,,
UYM,fail,31.559999465942383,29.450599975585938,25.319100008010864,27232.0,16500.0,0.6059048178613397,"avgvol50<min,relvol<min",,
VG,fail,11.15999984741211,8.735600023269653,11.309050002098083,13580516.0,38107900.0,2.8060715807852956,below_sma200,,
VGSIX,fail,31.75,30.416400146484374,30.086050004959105,0.0,0.0,,avgvol50<min,,
VLO,fail,225.60000610351562,188.05560089111327,162.29100009918213,3359528.0,4219900.0,1.2560990710599822,relvol<min,,
WDS,PASS,21.920000076293945,17.406799926757813,16.35984996318817,987954.0,1795500.0,1.8173923077390244,,,40911675947.0
XAL,insufficient_history,,,,,,,,0.0,
XAU,insufficient_history,,,,,,,,0.0,
XBD,insufficient_history,,,,,,,,0.0,
XCI,insufficient_history,,,,,,,,0.0,
XLB,fail,51.91999816894531,49.83,45.783450012207034,16439468.0,17141500.0,1.0427040583065097,relvol<min,,
XLE,fail,56.189998626708984,50.17699966430664,45.36282485961914,52035280.0,70718200.0,1.3590433259895978,relvol<min,,
XLK,fail,139.83999633789062,143.2979998779297,136.49430015563965,18437692.0,15194000.0,0.8240727744014815,"relvol<min,below_sma50",,
XLU,fail,47.27000045776367,44.03480010986328,43.102300033569335,26265214.0,24017800.0,0.9144338210988877,relvol<min,,
XNG,insufficient_history,,,,,,,,0.0,
XOI,insufficient_history,,,,,,,,0.0,
XOP,fail,160.77000427246094,138.1688003540039,131.12135005950927,4140994.0,5096000.0,1.2306224061179514,relvol<min,,
XTC,insufficient_history,,,,,,,,0.0,
ZD,PASS,42.97999954223633,34.5996000289917,34.391900053024294,973282.0,3806000.0,3.9104802102576643,,,1638662113.0
^TNX,fail,4.079999923706055,4.155100002288818,4.206904996633529,0.0,0.0,,"price<min,avgvol50<min,below_sma50,below_sma200",,
^VIX,fail,22.110000610351562,17.46740005493164,17.361200041770935,0.0,0.0,,avgvol50<min,,
