ticker,status,last_close,sma50,sma200,avgvol50,last_vol,relvol_proxy,reasons,market_cap,n_days
WDS,fail,22.34000015258789,17.688399963378906,16.44034996986389,981728.0,1223600.0,1.2463737409954692,relvol<min,,
FLNG,fail,30.229999542236328,26.546199989318847,25.327449979782106,495714.0,1122100.0,2.263603610146173,avgvol50<min,,
SU,fail,56.84000015258789,51.494599990844726,43.17770002365112,5107180.0,4845500.0,0.9487623306795531,relvol<min,,
CVX,fail,189.94000244140625,172.36819946289063,156.66689987182616,11199482.0,13059800.0,1.1661075039006268,relvol<min,,
EOG,fail,131.41000366210938,113.37499954223632,114.0666497039795,4961052.0,6922700.0,1.3954096832687906,relvol<min,,
HAFN,PASS,7.460000038146973,6.284200000762939,5.884749977588654,1378578.0,3571700.0,2.590858116116752,,3910427861.0,
KOS,fail,2.569999933242798,1.5139999961853028,1.6358500072360038,20528892.0,32709000.0,1.5933154112749972,price<min,,
BNAL,insufficient_history,,,,,,,,,0.0
FBF,insufficient_history,,,,,,,,,0.0
PARR,fail,48.869998931884766,39.450999908447265,35.25154997825623,1191016.0,1126300.0,0.9456631984792816,relvol<min,,
IYE,PASS,59.75,53.62860008239746,48.310750064849856,1696074.0,2785600.0,1.64238116968953,,1244744960.0,
XLE,fail,56.56999969482422,50.6711996459961,45.503449840545656,53988842.0,68152800.0,1.262349727745596,relvol<min,,
XOP,PASS,164.1300048828125,139.71160064697267,131.51305011749267,4436594.0,10268300.0,2.3144556387174484,,11208795136.0,
FCX,fail,59.36000061035156,60.494999694824216,47.03089979171753,20507654.0,25903500.0,1.2631137623055275,"relvol<min,below_sma50",,
GLNG,PASS,47.08000183105469,41.40879981994629,40.45559999465942,1359836.0,3217100.0,2.3657999935286314,,4776400356.0,
CL=F,fail,104.08999633789062,64.32239974975586,63.25259984970093,363110.64,455665.0,1.2548929990043804,"avgvol50<min,relvol<min",,
BZ=F,fail,106.68000030517578,68.93899993896484,66.90014986038209,62553.32,89281.0,1.4272783602852734,"avgvol50<min,relvol<min",,
RB=F,fail,2.8808999061584473,1.9532819890975952,1.9958524984121322,51500.7,48117.0,0.9342979804158003,"price<min,avgvol50<min,relvol<min",,
NG=F,fail,3.378000020980835,3.6853200006484985,3.574624993801117,182916.52,56995.0,0.31159022706095657,"price<min,avgvol50<min,relvol<min,below_sma50,below_sma200",,
ES=F,fail,6658.0,6923.605,6613.928850097656,1467542.68,393677.0,0.2682559119847881,"relvol<min,below_sma50",,
NQ=F,fail,24319.25,25378.045,24328.29125,550227.38,165196.0,0.30023224216868305,"relvol<min,below_sma50,below_sma200",,
^VIX,fail,33.47999954223633,18.198000030517576,17.503100037574768,0.0,0.0,,avgvol50<min,,
^TNX,fail,4.132999897003174,4.154279994964599,4.203719996213913,0.0,0.0,,"price<min,avgvol50<min,below_sma50,below_sma200",,
GC=F,fail,5123.60009765625,4854.28798828125,3989.994490966797,5226.76,70206.0,13.432030550474863,avgvol50<min,,
UUP,fail,27.469999313354492,27.072600021362305,27.477149963378906,1419646.0,3315900.0,2.3357231309777227,below_sma200,,
JETS,fail,25.350000381469727,28.79120002746582,25.840549993515015,4338966.0,8475600.0,1.9533686136282238,"below_sma50,below_sma200",,
SLB,fail,46.900001525878906,47.310000305175784,38.222300176620486,18995364.0,13469000.0,0.7090677493729522,"relvol<min,below_sma50",,
