ticker,status,last_close,sma50,sma200,avgvol50,last_vol,relvol_proxy,reasons,n_days
ES=F,fail,6859.75,6933.885,6606.147600097656,1442797.34,476896.0,0.33053568008380163,"relvol<min,below_sma50",
NQ=F,fail,25147.25,25430.3,24296.8525,540710.86,237801.0,0.4397932750971564,"relvol<min,below_sma50",
^VIX,fail,22.18000030517578,17.468800048828125,17.361550040245056,0.0,0.0,,avgvol50<min,
^TNX,fail,4.145999908447266,4.155,4.20542999625206,0.0,0.0,,"price<min,avgvol50<min,below_sma50,below_sma200",
GC=F,fail,5113.2001953125,4828.399990234375,3971.8334924316405,5526.2,86340.0,15.623755926314647,avgvol50<min,
UUP,fail,27.479900360107422,27.063798065185548,27.47824947357178,1299927.44,271072.0,0.2085285621788244,relvol<min,
JETS,fail,26.649999618530273,28.8796000289917,25.830499992370605,4058694.92,934046.0,0.2301345674929418,"relvol<min,below_sma50",
SLB,fail,47.529998779296875,47.14120025634766,38.16400015830994,18528370.68,1912034.0,0.10319493456938977,relvol<min,
HAL,fail,34.25,32.96800006866455,25.811400022506714,12851842.32,2263016.0,0.17608494904098698,relvol<min,
CVE,fail,23.114999771118164,19.536499900817873,16.847774953842162,13412525.9,1329495.0,0.09912338734048595,relvol<min,
SHEL,fail,83.20999908447266,76.39720016479492,73.15305004119872,4823383.58,1386532.0,0.2874604470084463,relvol<min,
OIH,fail,381.4200134277344,345.5603997802734,278.9422496032715,680218.58,96329.0,0.14161477329831243,relvol<min,
XLB,fail,51.61000061035156,49.954800033569335,45.8238750076294,16298857.92,3327496.0,0.20415516328398056,relvol<min,
IYM,fail,182.11500549316406,173.20589904785157,151.84937477111816,158130.74,27737.0,0.17540549041887746,"avgvol50<min,relvol<min",
XOI,insufficient_history,,,,,,,,0.0
OSX,insufficient_history,,,,,,,,0.0
XNG,insufficient_history,,,,,,,,0.0
XAL,insufficient_history,,,,,,,,0.0
GOX,insufficient_history,,,,,,,,0.0
XAU,insufficient_history,,,,,,,,0.0
SCCO,fail,197.72000122070312,184.2828823852539,128.9689234161377,2077100.98,345852.0,0.16650707083100025,relvol<min,
AEM,fail,225.17999267578125,206.08020050048827,160.39474994659423,2655457.82,409991.0,0.1543955987220313,relvol<min,
CCJ,fail,117.83999633789062,113.30339965820312,87.94994987487793,4075824.76,518238.0,0.12714923494404604,relvol<min,
TRX,fail,1.7137999534606934,1.3888760030269622,0.728919002264738,7582185.26,942263.0,0.124273275802285,"price<min,relvol<min",
ERX,fail,88.13999938964844,70.84260017395019,58.26700008392334,443450.46,208823.0,0.4709049123548096,"avgvol50<min,relvol<min",
DIG,fail,56.857200622558594,45.76074424743652,37.687286119461056,59713.74,16987.0,0.284473891603507,"avgvol50<min,relvol<min",
GUSH,fail,36.2307014465332,26.38621398925781,24.141103506088257,1319173.28,878064.0,0.6656168778676294,relvol<min,
UYM,fail,31.25,29.58699996948242,25.358650007247924,27248.44,1822.0,0.06686621325844709,"avgvol50<min,relvol<min",
BOIL,fail,17.209999084472656,21.31859992980957,33.000199995040894,14788951.12,2933556.0,0.19836132908930731,"relvol<min,below_sma50,below_sma200",
AUX,insufficient_history,,,,,,,,0.0
BIX,insufficient_history,,,,,,,,0.0
BTK,insufficient_history,,,,,,,,0.0
CORE_ETFS_1XXCO,insufficient_history,,,,,,,,0.0
GHA,insufficient_history,,,,,,,,0.0
GSV,insufficient_history,,,,,,,,0.0
CWX,insufficient_history,,,,,,,,0.0
GSO,insufficient_history,,,,,,,,0.0
XCI,insufficient_history,,,,,,,,0.0
IXF,insufficient_history,,,,,,,,0.0
FPP,insufficient_history,,,,,,,,0.0
GAX,insufficient_history,,,,,,,,0.0
HCX,insufficient_history,,,,,,,,0.0
INDS,fail,40.540000915527344,38.91541213989258,37.65435050964356,12936.1,726.0,0.05612201513593741,"avgvol50<min,relvol<min",
IUX,insufficient_history,,,,,,,,0.0
INX,insufficient_history,,,,,,,,0.0
GIN,insufficient_history,,,,,,,,0.0
NWX,insufficient_history,,,,,,,,0.0
GIP,insufficient_history,,,,,,,,0.0
DRG,insufficient_history,,,,,,,,0.0
RLX,fail,2.309999942779541,2.3299999713897703,2.3358499956130983,2270308.72,138536.0,0.06102077606432309,"price<min,relvol<min,below_sma50,below_sma200",
XBD,insufficient_history,,,,,,,,0.0
SOX,insufficient_history,,,,,,,,0.0
GSM,fail,5.065000057220459,4.983699998855591,4.482075011730194,1157111.36,59468.0,0.0513934976837493,relvol<min,
TXX,insufficient_history,,,,,,,,0.0
XTC,insufficient_history,,,,,,,,0.0
UTY,insufficient_history,,,,,,,,0.0
BBH,fail,192.6750030517578,194.91609985351562,175.34077415466308,7139.2,1460.0,0.20450470640968177,"avgvol50<min,relvol<min,below_sma50",
IYD,insufficient_history,,,,,,,,0.0
IYG,fail,86.06999969482422,90.50920028686524,88.00159996032716,101848.7,5135.0,0.050417923841934165,"avgvol50<min,relvol<min,below_sma50,below_sma200",
IYH,fail,64.66000366210938,65.68039993286133,60.64914999008179,795418.8,119340.0,0.15003417067838978,"relvol<min,below_sma50",
HHH,fail,70.98999786376953,79.56539993286133,77.2496998977661,386094.04,31102.0,0.08055550404248665,"avgvol50<min,relvol<min,below_sma50,below_sma200",
IYV,insufficient_history,,,,,,,,0.0
IAH,insufficient_history,,,,,,,,0.0
BHH,insufficient_history,,,,,,,,0.0
IH,fail,1.7000000476837158,1.9111000061035157,2.4776150012016296,13386.46,2923.0,0.21835496464337847,"price<min,avgvol50<min,relvol<min,below_sma50,below_sma200",
PPH,fail,106.61000061035156,107.24539962768554,95.12709983825684,421502.32,103616.0,0.24582545595478572,"avgvol50<min,relvol<min,below_sma50",
