ticker,status,last_close,sma50,sma200,avgvol50,last_vol,relvol_proxy,reasons,n_days,market_cap,mcap_source
INX,insufficient_history,,,,,,,,0.0,,
GIN,insufficient_history,,,,,,,,0.0,,
NWX,insufficient_history,,,,,,,,0.0,,
GIP,insufficient_history,,,,,,,,0.0,,
DRG,insufficient_history,,,,,,,,0.0,,
RLX,fail,2.309999942779541,2.3299999713897703,2.3358499956130983,2270530.6,149630.0,0.06590089558801805,"price<min,relvol<min,below_sma50,below_sma200",,,
XBD,insufficient_history,,,,,,,,0.0,,
SOX,insufficient_history,,,,,,,,0.0,,
GSM,fail,5.050000190734863,4.983400001525879,4.482000012397766,1157236.16,65708.0,0.056780113058340666,relvol<min,,,
TXX,insufficient_history,,,,,,,,0.0,,
XTC,insufficient_history,,,,,,,,0.0,,
UTY,insufficient_history,,,,,,,,0.0,,
BBH,fail,192.6750030517578,194.91609985351562,175.34077415466308,7139.2,1460.0,0.20450470640968177,"avgvol50<min,relvol<min,below_sma50",,,
IYD,insufficient_history,,,,,,,,0.0,,
IYG,fail,85.6698989868164,90.50119827270508,87.99959945678711,101859.26,5663.0,0.055596319863309436,"avgvol50<min,relvol<min,below_sma50,below_sma200",,,
IYH,fail,64.62999725341797,65.6797998046875,60.64899995803833,795547.48,125774.0,0.1580974148771108,"relvol<min,below_sma50",,,
HHH,fail,70.91000366210938,79.56380004882813,77.24929992675781,386257.7,39285.0,0.10170671031283,"avgvol50<min,relvol<min,below_sma50,below_sma200",,,
IYV,insufficient_history,,,,,,,,0.0,,
IAH,insufficient_history,,,,,,,,0.0,,
BHH,insufficient_history,,,,,,,,0.0,,
IH,fail,1.7000000476837158,1.9111000061035157,2.4776150012016296,13388.0,3000.0,0.224081266806095,"price<min,avgvol50<min,relvol<min,below_sma50,below_sma200",,,
PPH,fail,106.45500183105469,107.2422996520996,95.12632484436035,421603.04,108652.0,0.2577116142236546,"avgvol50<min,relvol<min,below_sma50",,,
IYR,fail,100.0250015258789,97.12270034790039,95.9844750213623,7405560.88,1433044.0,0.19350917820015276,relvol<min,,,
RMS,insufficient_history,,,,,,,,0.0,,
VGSIX,fail,31.75,30.416400146484374,30.086050004959105,0.0,0.0,,avgvol50<min,,,
SMH,fail,399.8900146484375,395.3448010253906,330.26359985351564,7243490.56,1264028.0,0.17450536996351107,relvol<min,,,
XLK,fail,140.9600067138672,143.2251998901367,136.61187519073485,18208003.78,2781489.0,0.15276188612478417,"relvol<min,below_sma50",,,
IYW,fail,192.6300048828125,196.9717987060547,188.40329948425293,1156446.24,89212.0,0.07714323149167747,"relvol<min,below_sma50",,,
IYZ,fail,40.08000183105469,36.21560005187988,32.333549966812136,1617546.2,279310.0,0.17267512977372765,relvol<min,,,
TTH,insufficient_history,,,,,,,,0.0,,
BDH,insufficient_history,,,,,,,,0.0,,
XLU,fail,46.76499938964844,44.11750007629394,43.13067502975464,25896360.88,4169344.0,0.16100115453750968,relvol<min,,,
IDU,fail,118.25,111.94899963378906,109.57559982299804,171557.56,4578.0,0.026684921375659573,"avgvol50<min,relvol<min",,,
UTH,insufficient_history,,,,,,,,0.0,,
SOXL,fail,57.060001373291016,58.31679977416992,38.233600006103515,74275969.14,21335957.0,0.28725248888755195,"relvol<min,below_sma50",,,
SOXS,fail,38.439998626708984,2.8763999700546266,5.512999986410141,515396444.34,18579817.0,0.03604956379509508,relvol<min,,,
USD,fail,53.814998626708984,55.674700241088864,47.34267503738403,776797.68,200084.0,0.25757543457132875,"relvol<min,below_sma50",,,
SOXX,fail,342.5,339.09180114746096,280.21754981994627,6490646.54,1539327.0,0.23716081140970588,relvol<min,,,
TQQQ,fail,50.290000915527344,52.45119995117187,48.34742490768433,88694231.68,29568384.0,0.3333743744089221,"relvol<min,below_sma50",,,
SQQQ,fail,69.54000091552734,68.21920036315917,82.02825008392334,47281493.9,16959595.0,0.3586941443912372,"relvol<min,below_sma200",,,
QLD,fail,68.72000122070312,70.34260009765624,65.72905014038086,4964752.82,1286241.0,0.2590745293136265,"relvol<min,below_sma50",,,
QID,fail,20.50029945373535,20.17560604095459,22.571251535415648,26985459.54,3277277.0,0.12144603263628544,"relvol<min,below_sma200",,,
UPRO,fail,113.48999786376953,117.83539993286132,106.07864990234376,4096039.06,1208053.0,0.29493200194238384,"relvol<min,below_sma50",,,
SPXU,fail,50.025001525878906,48.6385001373291,57.55162488937378,6057044.78,2432639.0,0.4016214322919369,"relvol<min,below_sma200",,,
SPXL,fail,216.32960510253906,224.54659271240234,201.6685478210449,2580562.9,967345.0,0.3748581365716759,"relvol<min,below_sma50",,,
