# saved_at_kr,2026-07-15 08:04:40 KST
# provider,yahoo(yfinance)
group,ticker,premarket,src,ts_kst,error
macro_watch_yahoo_korea,091230.KS,139735.0,yf_close(5m),2026-07-14T15:30:00+09:00,
macro_watch_yahoo_korea,005930.KS,263000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
macro_watch_yahoo_korea,000660.KS,1913000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
macro_watch_yahoo_korea,012450.KS,872000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
macro_watch_yahoo_korea,042660.KS,76800.0,yf_close(5m),2026-07-14T15:30:00+09:00,
macro_watch_yahoo_korea,034020.KS,70900.0,yf_close(5m),2026-07-14T15:30:00+09:00,
macro_watch_yahoo_korea,329180.KS,466000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
macro_watch_yahoo_korea,035420.KS,183200.0,yf_close(5m),2026-07-14T15:30:00+09:00,
macro_watch_yahoo_korea,015760.KS,33950.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,005930.KS,263000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,000660.KS,1913000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,009150.KS,1260000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,005935.KS,182200.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,011070.KS,641000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,042700.KS,207500.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,000990.KS,113500.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,039030.KQ,357000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,058470.KQ,73100.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,089030.KQ,48450.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,222800.KQ,108000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,240810.KQ,127100.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,403870.KQ,42000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,066570.KS,185400.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,277810.KQ,400500.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,455900.KQ,16150.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,058610.KQ,66200.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,117730.KQ,10980.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,012450.KS,872000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,042660.KS,76800.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,329180.KS,466000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,010140.KS,21250.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,034020.KS,70900.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,267260.KS,797000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,064350.KS,165400.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,079550.KS,665000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,047810.KS,141100.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,015760.KS,33950.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,278470.KS,375000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,090430.KS,120000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,192820.KS,174800.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,161890.KS,106300.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,051900.KS,240500.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,003230.KS,1072000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,097950.KS,186000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,271560.KS,128400.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,004370.KS,350500.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,282330.KS,122200.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,008770.KS,47200.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,207940.KS,1368000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,068270.KS,172800.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,000100.KS,66700.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,326030.KS,74600.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,196170.KQ,279500.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,000250.KQ,180000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,214150.KQ,45550.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,145720.KS,39550.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,005380.KS,424500.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,000270.KS,139600.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,012330.KS,466000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,035420.KS,183200.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,035720.KS,33850.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,105560.KS,180000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,055550.KS,106500.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,086790.KS,134000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,316140.KS,30700.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,051910.KS,255000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,006400.KS,427500.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,003670.KS,144300.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,086520.KQ,79100.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,247540.KQ,112600.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,011170.KS,59800.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,009830.KS,29850.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,010060.KS,184000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,112610.KS,39450.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,297090.KQ,3785.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,322000.KS,109700.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,307950.KS,407500.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,204320.KS,44850.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,305720.KS,13010.0,yf_close(5m),2026-07-14T15:30:00+09:00,
tickers_core_korea,305540.KS,16415.0,yf_close(5m),2026-07-14T15:30:00+09:00,
