ticker,name,market,asset_type,sector,industry,source
033100.KQ,제룡전기,,STOCK,Industrials,Electrical equipment,existing
033500.KQ,동성화인텍,,STOCK,Materials,LNG insulation / Materials,existing
033640.KQ,네패스,,STOCK,Other,Other / Needs review,existing
034020.KS,두산에너빌리티,KOSPI,STOCK,Industrials,Power equipment / Nuclear,builtin
035420.KS,NAVER,,STOCK,Communication Services,Internet platform,existing
035600.KQ,KG이니시스,,STOCK,Information Technology,Payment / Fintech,existing
035720.KS,카카오,,STOCK,Communication Services,Internet platform,existing
035760.KQ,CJ ENM,,STOCK,Communication Services,Media / Entertainment,existing
035900.KQ,JYP Ent.,,STOCK,Communication Services,Entertainment,existing
036010.KQ,아비코전자,,STOCK,Information Technology,Electronics,existing
036460.KS,한국가스공사,,STOCK,Utilities,Gas / Utilities,existing
036830.KQ,솔브레인홀딩스,,STOCK,Industrials,Holding company,existing
036890.KQ,진성티이씨,KOSDAQ,STOCK,Industrials,Construction machinery parts,builtin
038500.KQ,삼표시멘트,,STOCK,Materials,Cement,existing
039030.KQ,이오테크닉스,,STOCK,Information Technology,Technology,existing
039130.KQ,하나투어,,STOCK,Consumer Discretionary,Travel agency,existing
039200.KQ,오스코텍,,STOCK,Healthcare,Biotech,existing
039490.KS,키움증권,,STOCK,Financial Services,Securities,existing
041190.KQ,우리기술투자,,PREFERRED,Preferred Stock,Preferred / Special share,existing
041510.KQ,에스엠,,STOCK,Communication Services,Entertainment,existing
041960.KQ,코미팜,,STOCK,Healthcare,Biotech / Pharmaceuticals,existing
042000.KQ,카페24,,STOCK,Information Technology,E-commerce platform,existing
042660.KS,한화오션,,STOCK,Industrials,Shipbuilding / Defense,existing
046890.KQ,서울반도체,,STOCK,Information Technology,Semiconductors / Electronics,existing
047050.KS,포스코인터내셔널,,STOCK,Industrials,Trading / Energy / Materials,existing
047810.KS,한국항공우주,,PREFERRED,Preferred Stock,Preferred / Special share,existing
048410.KQ,현대바이오,,STOCK,Healthcare,Biotech / Healthcare,existing
048530.KQ,인트론바이오,,STOCK,Healthcare,Biotech / Healthcare,existing
049950.KQ,미래컴퍼니,,STOCK,Other,Other / Needs review,existing
051600.KS,한전KPS,,STOCK,Industrials,Power plant maintenance,existing
051910.KS,LG화학,KOSPI,STOCK,Materials,Chemicals / Battery materials,builtin
051915.KS,LG화학우,KOSPI,PREFERRED,Materials,Chemicals / Battery materials preferred,builtin
052690.KS,한전기술,,STOCK,Industrials,Electrical equipment,existing
053030.KQ,바이넥스,,STOCK,Healthcare,Pharmaceuticals,existing
053690.KS,한미글로벌,,STOCK,Industrials,Construction management,existing
056190.KQ,에스에프에이,,STOCK,Industrials,Factory automation equipment,existing
058470.KQ,리노공업,,STOCK,Information Technology,Semiconductor equipment / Components,existing
058610.KQ,에스피지,,STOCK,Industrials,Motors / Robotics components,existing
060250.KQ,NHN KCP,,STOCK,Other,Other / Needs review,existing
060280.KQ,큐렉소,,STOCK,Healthcare,Medical robots,existing
062040.KS,산일전기,KOSPI,STOCK,Industrials,Transformer / Power equipment,builtin
064350.KS,현대로템,,STOCK,Industrials,Defense / Railway equipment,existing
064400.KS,LG씨엔에스,,STOCK,Information Technology,IT services,existing
064550.KQ,바이오니아,,STOCK,Healthcare,Biotech / Healthcare,existing
065350.KQ,신성델타테크,,STOCK,Industrials,Electronics / Components,existing
065660.KQ,안트로젠,,STOCK,Healthcare,Biotech,existing
067630.KQ,HLB생명과학,,STOCK,Healthcare,Biotech,existing
068270.KS,셀트리온,,STOCK,Healthcare,Biopharmaceuticals,existing
068760.KQ,셀트리온제약,,STOCK,Healthcare,Pharmaceuticals,existing
069260.KS,TKG휴켐스,,STOCK,Materials,Chemicals,existing
069620.KS,대웅제약,,STOCK,Healthcare,Pharmaceuticals,existing
071055.KS,한국금융지주우,,PREFERRED,Preferred Stock,Preferred / Special share,existing
071320.KS,지역난방공사,,STOCK,Utilities,District heating / Utilities,existing
078600.KQ,대주전자재료,,STOCK,Information Technology,Electronics,existing
080160.KQ,모두투어,,STOCK,Consumer Discretionary,Travel agency,existing
082270.KQ,젬백스,,STOCK,Healthcare,Biotech,existing
082740.KS,한화엔진,,STOCK,Other,Other / Needs review,existing
083650.KQ,비에이치아이,,STOCK,Industrials,Power plant equipment,existing
083790.KQ,CG인바이츠,,STOCK,Healthcare,Biotech,existing
084850.KQ,아이티엠반도체,,STOCK,Information Technology,Semiconductors / Electronics,existing
