ticker,price,gap_pct,rsi14,sma10,sma40,sma50,sma200,px_vs_sma10,px_vs_sma40,px_vs_sma50,px_vs_sma200,sma10_slope,sma40_slope,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,daily_breakout,daily_retest,in_daily_box_middle,grade,score
WANT,36.84,-2.87,49.16,35.9,41.22,43.08,47.45,2.62,-10.62,-14.49,-22.36,DN,DN,False,57.27,48.21,55.45,57.27,False,False,False,B,1.0
CLX,102.69,-2.82,45.04,103.4,114.14,114.25,115.24,-0.69,-10.03,-10.12,-10.89,DN,DN,False,128.9,96.66,25.52,128.9,False,False,False,B,1.0
UBER,70.46,-2.65,36.57,71.45,73.21,74.15,86.74,-1.38,-3.75,-4.98,-18.77,DN,DN,False,79.23,68.46,12.45,86.35,False,False,False,B,1.0
MSFT,364.55,-2.61,35.15,368.52,390.73,398.25,475.33,-1.08,-6.7,-8.46,-23.31,DN,DN,False,413.05,381.71,13.3,483.74,False,False,False,B,1.0
SYK,332.06,-2.34,43.43,330.78,355.03,356.08,369.74,0.39,-6.47,-6.75,-10.19,UP,DN,False,389.33,349.37,17.25,389.33,False,False,False,B,1.0
APD,292.0,-1.55,70.47,292.36,284.01,281.85,273.59,-0.12,2.81,3.6,6.73,UP,UP,False,296.82,268.12,1.65,296.82,False,True,False,B,1.0
KMB,99.0,2.06,44.99,97.04,102.85,102.59,113.84,2.02,-3.74,-3.5,-13.04,DN,DN,False,111.82,96.26,12.95,111.82,False,False,False,B,1.0
MKC,51.69,2.34,35.31,51.11,60.95,61.59,66.61,1.12,-15.19,-16.07,-22.39,DN,DN,False,72.41,59.62,40.09,72.41,False,False,False,B,1.0
CEG,291.0,2.37,35.88,286.21,300.69,294.86,328.77,1.67,-3.22,-1.31,-11.49,DN,UP,False,333.8,243.3,14.71,346.81,False,False,True,B,1.0
APO,109.65,2.43,37.86,108.54,112.17,116.13,132.47,1.02,-2.25,-5.58,-17.23,DN,DN,False,114.7,99.56,4.61,146.25,False,False,False,B,1.0
BTCT,1.2,3.45,33.33,1.15,1.24,1.26,2.13,4.53,-3.42,-4.56,-43.7,DN,DN,False,1.5,1.12,25.0,1.78,False,False,False,B,1.0
NVDD,41.01,6.44,46.28,40.2,39.04,38.96,40.28,2.01,5.06,5.26,1.81,DN,UP,False,41.76,37.53,1.83,42.78,False,False,False,B,1.0
NRGV,3.45,8.15,40.38,3.32,3.32,3.6,3.11,3.95,3.99,-4.06,10.97,DN,DN,False,4.02,2.85,16.52,6.35,False,False,False,B,1.0
IOT,31.85,8.7,27.23,31.11,30.25,29.62,35.55,2.37,5.29,7.54,-10.41,DN,UP,False,35.56,24.13,11.63,35.87,False,False,False,B,1.0
SYY,82.51,9.79,34.68,75.28,83.89,84.02,79.23,9.6,-1.65,-1.8,4.14,DN,DN,False,91.85,71.23,11.32,91.85,False,False,False,B,1.0
SOWG,0.5,19.05,47.62,0.43,0.44,0.47,0.67,15.21,14.48,6.93,-25.19,DN,DN,False,0.61,0.36,22.0,1.06,False,False,False,B,1.0
ENPH,39.05,19.93,27.0,36.54,42.46,42.54,36.95,6.86,-8.03,-8.2,5.69,DN,DN,False,46.87,25.78,20.03,52.93,False,False,False,B,1.0
LABD,18.79,23.05,32.15,17.39,18.44,18.48,35.61,8.06,1.92,1.69,-47.23,DN,DN,False,21.53,16.16,14.61,21.53,False,False,False,B,1.0
DUST,63.99,45.43,36.05,52.58,48.58,49.09,116.1,21.7,31.71,30.35,-44.89,DN,DN,False,71.87,34.6,12.31,71.87,False,False,False,B,1.0
SOXS,42.84,58.9,36.12,37.6,37.43,37.69,85.6,13.93,14.44,13.65,-49.95,DN,DN,False,48.26,31.4,12.65,49.76,False,False,False,B,1.0
BATL,6.4,69.76,19.04,4.67,9.44,8.21,2.97,37.04,-32.2,-22.03,115.59,DN,UP,False,29.7,2.33,364.06,29.7,False,False,False,B,1.0
SPIR,13.37,-34.78,83.47,14.47,11.16,11.21,10.42,-7.63,19.75,19.26,28.33,UP,UP,True,13.69,8.3,2.39,20.5,False,False,False,B,0.0
CREG,0.23,-32.35,26.42,0.27,0.88,0.94,1.37,-14.18,-73.76,-75.41,-83.25,UP,DN,False,2.66,0.19,1056.52,2.66,False,False,False,B,0.0
ERO,24.37,-19.54,76.53,27.02,28.68,29.81,22.71,-9.81,-15.02,-18.24,7.32,UP,DN,True,35.64,22.41,46.25,39.8,False,False,False,B,0.0
FNGU,14.98,-19.07,49.05,16.17,18.13,18.82,24.93,-7.36,-17.36,-20.39,-39.91,UP,DN,False,21.05,16.45,40.49,25.6,False,False,False,B,0.0
AGQ,97.7,-16.0,46.07,110.15,136.78,154.22,110.12,-11.31,-28.57,-36.65,-11.28,UP,DN,False,194.61,93.77,99.19,431.47,False,False,False,B,0.0
FCX,55.1,-15.36,70.7,59.21,61.13,61.36,49.0,-6.94,-9.87,-10.2,12.44,UP,UP,True,69.75,50.79,26.59,69.75,False,False,False,B,0.0
KALU,117.13,-14.93,72.42,124.55,126.36,127.42,100.17,-5.96,-7.3,-8.07,16.93,UP,DN,True,150.0,105.45,28.06,150.0,False,False,False,B,0.0
DRIP,3.92,-14.6,48.64,4.2,5.24,5.64,8.14,-6.56,-25.26,-30.52,-51.87,DN,DN,False,9.47,7.54,141.58,8.96,False,False,False,B,0.0
RIO,84.88,-13.78,71.49,91.85,93.29,93.42,74.74,-7.58,-9.02,-9.14,13.56,UP,UP,True,101.53,82.35,19.62,101.53,False,False,False,B,0.0
SRRK,43.9,-12.18,70.68,47.25,45.42,45.49,39.15,-7.1,-3.34,-3.49,12.14,UP,UP,True,49.82,38.75,13.49,51.62,False,False,True,B,0.0
META,542.91,-11.35,49.24,569.08,622.28,635.28,683.48,-4.6,-12.76,-14.54,-20.57,DN,DN,False,672.77,520.26,23.92,744.0,False,False,False,B,0.0
UBOT,20.5,-11.14,49.71,21.07,24.9,25.3,24.8,-2.69,-17.67,-18.96,-17.33,DN,DN,False,30.22,24.64,47.41,30.22,False,False,False,B,0.0
