# saved_at_kr,2026-05-04 16:40:29 KST
# provider,yahoo(yfinance)
# group: kr_foreign_naver_auto
035760.KQ,54200.0
035900.KQ,62500.0
036490.KQ,
036830.KQ,71500.0
036890.KQ,19250.0
036930.KQ,126600.0
040420.KQ,5980.0
041190.KQ,6740.0
041510.KQ,96800.0
041960.KQ,9750.0
042000.KQ,25750.0
046890.KQ,17930.0
048260.KQ,
048410.KQ,14440.0
048530.KQ,3485.0
051900.KQ,254000.0
053030.KQ,11020.0
056190.KQ,32500.0
060250.KQ,20150.0
064290.KQ,31350.0
064550.KQ,10220.0
065350.KQ,58100.0
065660.KQ,34850.0
067310.KQ,42000.0
067630.KQ,4240.0
068240.KQ,
068760.KQ,55700.0
069080.KQ,12160.0
078130.KQ,436.0
081580.KQ,3210.0
082270.KQ,23300.0
083450.KQ,50100.0
083790.KQ,1213.0
084370.KQ,132100.0
084850.KQ,17140.0
086390.KQ,19400.0
086900.KQ,105500.0
088390.KQ,13830.0
089010.KQ,38050.0
089970.KQ,56000.0
090460.KQ,
091700.KQ,7770.0
091990.KQ,
092190.KQ,11230.0
095610.KQ,86800.0
095660.KQ,21900.0
095700.KQ,5280.0
096240.KQ,10800.0
096530.KQ,24550.0
098460.KQ,38950.0
099430.KQ,5860.0
101490.KQ,99900.0
102710.KQ,57900.0
108230.KQ,4445.0
110790.KQ,3975.0
112040.KQ,24400.0
119610.KQ,21550.0
122450.KQ,3235.0
122870.KQ,53500.0
131390.KQ,
131970.KQ,132100.0
137400.KQ,58000.0
140410.KQ,91200.0
140860.KQ,314500.0
142280.KQ,3880.0
143240.KQ,16890.0
144510.KQ,23350.0
145020.KQ,263000.0
151910.KQ,
153130.KQ,
160550.KQ,1747.0
174900.KQ,47400.0
178320.KQ,61300.0
178920.KQ,25750.0
181710.KQ,41000.0
183300.KQ,143400.0
185490.KQ,1416.0
187420.KQ,2820.0
187660.KQ,9400.0
190510.KQ,19340.0
192440.KQ,26900.0
195940.KQ,52100.0
200130.KQ,11420.0
204270.KQ,19100.0
205470.KQ,
208340.KQ,
215000.KQ,50400.0
215200.KQ,46850.0
217600.KQ,
218410.KQ,98000.0
220630.KQ,
221610.KQ,
222810.KQ,
225190.KQ,2190.0
230360.KQ,16000.0
235980.KQ,5240.0
237690.KQ,153800.0
251270.KQ,49650.0
252330.KQ,
253450.KQ,34800.0
253840.KQ,5530.0
256150.KQ,5410.0
263050.KQ,
263720.KQ,12120.0
263750.KQ,58500.0
267320.KQ,3500.0
272210.KQ,117300.0
272290.KQ,36200.0
273060.KQ,1069.0
287410.KQ,
290130.KQ,
290650.KQ,62500.0
293490.KQ,11820.0
294030.KQ,
# group: tickers_leverage2x_korea
ticker,premarket
122630.KS,127765.0
267770.KS,97935.0
233740.KS,17085.0
233160.KS,18940.0
252670.KS,153.0
251340.KS,1964.0
409820.KS,18325.0
488080.KS,65495.0
494310.KS,111200.0
091230.KS,136155.0
396500.KS,42170.0
469150.KS,61925.0
395270.KS,49145.0
475310.KS,36185.0
091160.KS,130460.0
395160.KS,34900.0
471760.KS,22745.0
471990.KS,32480.0
381180.KS,40955.0
390390.KS,51525.0
069500.KS,105295.0
# group: finviz_manual_korea
ticker,premarket
000660.KS,1449000.0
005930.KS,232500.0
005935.KS,169700.0
009150.KS,918000.0
011070.KS,592000.0
042700.KS,378000.0
039030.KQ,470500.0
058470.KQ,120300.0
089030.KQ,61300.0
222800.KQ,88200.0
240810.KQ,122500.0
403870.KQ,54300.0
066570.KS,143200.0
277810.KQ,685000.0
455900.KQ,30100.0
058610.KQ,129200.0
117730.KQ,22650.0
005380.KS,539000.0
000270.KS,153700.0
091160.KS,130460.0
091230.KS,136155.0
396500.KS,42170.0
488080.KS,65495.0
494310.KS,111200.0
469150.KS,61925.0
395270.KS,49145.0
395160.KS,34900.0
471990.KS,32480.0
471760.KS,22745.0
390390.KS,51525.0
381180.KS,40955.0
012450.KS,1464000.0
042660.KS,132900.0
329180.KS,680000.0
