symbol,is_2x,status,status_rank,pattern,pattern_score,break_level,breakout_date,vol_confirmed,hold_confirmed,last_close,diag_touches,diag_slope_low,diag_depth,diag_vol_ratio_10_60,diag_db_score
XLB,False,NO_SIGNAL,9,DOUBLE_BOTTOM,7.0,54.14,,False,False,51.555,2,0.173763,0.1993,0.985,3.0
FCX,False,NO_SIGNAL,9,DOUBLE_BOTTOM,5.0,69.75,,False,False,62.88,2,0.363984,0.3741,1.125,3.0
GC=F,False,NO_SIGNAL,9,BASE,4.5,5586.2,,False,False,5148.6,1,17.650072,0.2526,0.711,0.0
UUP,False,NO_SIGNAL,9,DOUBLE_BOTTOM,4.5,28.2,,False,False,27.548,9,-0.016112,0.0638,0.625,3.0
CCJ,False,NO_SIGNAL,9,DOUBLE_BOTTOM,4.0,135.24,,False,False,115.155,1,0.61179,0.3767,1.146,3.0
UYM,True,NO_SIGNAL,9,DOUBLE_BOTTOM,4.0,34.54,,False,False,31.15,1,0.189472,0.3526,1.011,3.0
^TNX,False,NO_SIGNAL,9,RECTANGLE,2.5,4.311,,False,False,4.109,6,-0.001096,0.0823,1.382,2.0
NQ=F,False,NO_SIGNAL,9,BASE,2.0,26349.0,,False,False,24529.0,2,-14.321874,0.0801,1.11,2.0
SCCO,False,NO_SIGNAL,9,BASE,1.5,223.89,,False,False,200.18,1,1.371322,0.3971,0.948,0.0
ES=F,False,NO_SIGNAL,9,RECTANGLE,0.5,7043.0,,False,False,6773.0,21,-0.093227,0.0458,1.107,2.0
NG=F,False,NO_SIGNAL,9,BASE,-1.0,7.827,,False,False,3.171,1,-0.024548,0.6455,0.318,2.0
BOIL,True,NO_SIGNAL,9,BASE,-1.0,46.85,,False,False,19.585,1,-0.217036,0.6756,0.43,2.0
