import time: self [us] | cumulative | imported package
import time:       342 |        870 |               pandas.core.arrays._mixins
import time:       166 |        166 |                 pandas.core.strings
import time:       213 |        213 |                 pandas.core.strings.base
import time:       391 |        769 |               pandas.core.strings.object_array
import time:       247 |       1885 |             pandas.core.arrays.numpy_
import time:       237 |        237 |             pandas.io.formats
import time:      1177 |       1177 |                   zlib
import time:       508 |       1684 |                 shutil
import time:       178 |       1861 |               pandas.io.formats.console
import time:       532 |       2393 |             pandas.io.formats.printing
import time:       474 |       7165 |           pandas.core.arrays.string_
import time:       267 |        267 |             pandas.tseries
import time:       526 |        793 |           pandas.tseries.frequencies
import time:      2105 |      22352 |         pandas.core.arrays.arrow.array
import time:       408 |      41130 |       pandas.core.arrays.arrow
import time:       265 |        265 |       pandas.core.arrays.boolean
import time:      1243 |       1243 |           _csv
import time:       372 |       1614 |         csv
import time:       296 |        296 |         pandas.core.accessor
import time:       356 |        356 |         pandas.core.base
import time:       521 |       2786 |       pandas.core.arrays.categorical
import time:      1237 |       1237 |         pandas._libs.tslib
import time:       281 |        281 |           pandas.core.array_algos.datetimelike_accumulations
import time:      1616 |       1896 |         pandas.core.arrays.datetimelike
import time:        93 |         93 |         pandas.core.arrays._ranges
import time:       150 |        150 |         pandas.tseries.offsets
import time:       411 |       3785 |       pandas.core.arrays.datetimes
import time:       338 |        338 |         pandas.core.arrays.timedeltas
import time:       732 |       1069 |       pandas.core.arrays.interval
import time:       347 |        347 |       pandas.core.arrays.period
import time:      1128 |       1128 |             pandas._libs.sparse
import time:       376 |       1504 |           pandas.core.arrays.sparse.array
import time:       152 |       1656 |         pandas.core.arrays.sparse.accessor
import time:       174 |       1829 |       pandas.core.arrays.sparse
import time:       215 |        215 |       pandas.core.arrays.string_arrow
import time:       285 |      51707 |     pandas.core.arrays
import time:        86 |         86 |     pandas.core.flags
import time:      1200 |       1200 |           pandas._libs.internals
import time:       182 |        182 |             pandas.core._numba
import time:       256 |        438 |           pandas.core._numba.executor
import time:       455 |       2092 |         pandas.core.apply
import time:      3268 |       3268 |                   _json
import time:       304 |       3571 |                 json.scanner
import time:       429 |       4000 |               json.decoder
import time:       454 |        454 |               json.encoder
import time:       319 |       4771 |             json
import time:      1137 |       1137 |               pandas._libs.indexing
import time:       201 |        201 |                 pandas.core.indexes
import time:      1370 |       1370 |                   pandas._libs.index
import time:      1191 |       1191 |                   pandas._libs.writers
import time:      1246 |       1246 |                   pandas._libs.join
import time:        91 |         91 |                   pandas.core.array_algos.putmask
import time:        92 |         92 |                   pandas.core.indexes.frozen
import time:      1247 |       1247 |                   pandas.core.strings.accessor
import time:       975 |       6209 |                 pandas.core.indexes.base
import time:       133 |        133 |                   pandas.core.indexes.extension
import time:       164 |        296 |                 pandas.core.indexes.category
import time:       404 |        404 |                     pandas.core.indexes.range
import time:       156 |        156 |                       pandas.core.tools
import time:       239 |        394 |                     pandas.core.tools.timedeltas
import time:       437 |       1234 |                   pandas.core.indexes.datetimelike
import time:       207 |        207 |                   pandas.core.tools.times
import time:       555 |       1995 |                 pandas.core.indexes.datetimes
import time:       536 |        536 |                   pandas.core.indexes.multi
import time:       266 |        266 |                   pandas.core.indexes.timedeltas
import time:       379 |       1180 |                 pandas.core.indexes.interval
import time:       225 |        225 |                 pandas.core.indexes.period
import time:       550 |      10653 |               pandas.core.indexes.api
import time:       788 |      12577 |             pandas.core.indexing
import time:       205 |        205 |             pandas.core.sample
import time:       175 |        175 |             pandas.core.array_algos.replace
import time:       599 |        599 |                 pandas.core.internals.blocks
import time:       268 |        867 |               pandas.core.internals.api
import time:       335 |        335 |                 pandas.core.internals.base
import time:       295 |        295 |                   pandas.core.internals.ops
import time:       457 |        752 |                 pandas.core.internals.managers
import time:      4352 |       5438 |               pandas.core.internals.array_manager
import time:       134 |        134 |               pandas.core.internals.concat
import time:       295 |       6732 |             pandas.core.internals
import time:       310 |        310 |             pandas.core.internals.construction
import time:       174 |        174 |               pandas.core.methods
import time:       258 |        258 |                 pandas.core.reshape
import time:       283 |        540 |               pandas.core.reshape.concat
import time:       407 |        407 |                   gzip
import time:      1431 |       1431 |                   mmap
